46 energy for occn = -19.9526525 m = -3 primary_state = (n, k, m, sign)0 -5 -3 1
47 energy for occn = -19.9526525 m = -7 primary_state = (n, k, m, sign)0 -5 -7 1
48 energy for occn = -19.9526525 m = -5 primary_state = (n, k, m, sign)0 -5 -5 1
49 energy for occn = -19.9526525 m = -1 primary_state = (n, k, m, sign)0 -5 -1 1
50 energy for occn = -14.083305 m = 1 primary_state = (n, k, m, sign)0 4 1 1
51 energy for occn = -14.083305 m = -3 primary_state = (n, k, m, sign)0 4 -3 1
52 energy for occn = -14.083305 m = -7 primary_state = (n, k, m, sign)0 4 -7 1
53 energy for occn = -14.083305 m = 5 primary_state = (n, k, m, sign)0 4 5 1
54 energy for occn = -14.083305 m = 7 primary_state = (n, k, m, sign)0 4 7 1
55 energy for occn = -14.083305 m = 3 primary_state = (n, k, m, sign)0 4 3 1
56 energy for occn = -14.083305 m = -1 primary_state = (n, k, m, sign)0 4 -1 1
57 energy for occn = -14.083305 m = -5 primary_state = (n, k, m, sign)0 4 -5 1
58 energy for occn = -11.5276916 m = 3 primary_state = (n, k, m, sign)1 -3 3 1
59 energy for occn = -11.5276916 m = 5 primary_state = (n, k, m, sign)1 -3 5 1
60 energy for occn = -11.5276916 m = 1 primary_state = (n, k, m, sign)1 -3 1 1
61 energy for occn = -11.5276916 m = -3 primary_state = (n, k, m, sign)1 -3 -3 1
62 energy for occn = -11.5276916 m = -5 primary_state = (n, k, m, sign)1 -3 -5 1
63 energy for occn = -11.5276916 m = -1 primary_state = (n, k, m, sign)1 -3 -1 1
64 energy for occn = -9.84093351 m = 3 primary_state = (n, k, m, sign)1 2 3 1
65 energy for occn = -9.84093351 m = 1 primary_state = (n, k, m, sign)1 2 1 1
66 energy for occn = -9.84093351 m = -3 primary_state = (n, k, m, sign)1 2 -3 1
67 energy for occn = -9.84093351 m = -1 primary_state = (n, k, m, sign)1 2 -1 1
68 energy for occn = -9.46946419 m = 1 primary_state = (n, k, m, sign)2 -1 1 1
69 energy for occn = -9.46946419 m = -1 primary_state = (n, k, m, sign)2 -1 -1 1
70 energy for occn = -9.14392836 m = -7 primary_state = (n, k, m, sign)0 -6 -7 1
71 energy for occn = -9.14392836 m = 11 primary_state = (n, k, m, sign)0 -6 11 1
72 energy for occn = -9.14392836 m = 5 primary_state = (n, k, m, sign)0 -6 5 1
73 energy for occn = -9.14392836 m = 3 primary_state = (n, k, m, sign)0 -6 3 1
74 energy for occn = -9.14392836 m = -9 primary_state = (n, k, m, sign)0 -6 -9 1
75 energy for occn = -9.14392836 m = 7 primary_state = (n, k, m, sign)0 -6 7 1
76 energy for occn = -9.14392836 m = -11 primary_state = (n, k, m, sign)0 -6 -11 1
77 energy for occn = -9.14392836 m = 9 primary_state = (n, k, m, sign)0 -6 9 1
